,Face,,Left eye,,Right eye,,Left,Right,Up,Down,Face width:
Picture:,"(x,",y),"(x,",y),"(x,",y)
capture_2020_04_17_11_39_49_7213,325,335,160,144,224,144,0,0,0,0,151
capture_2020_04_17_11_39_49_7214,325,335,160,144,224,144,0,0,0,0,151
capture_2020_04_17_11_39_49_7215,325,335,160,144,224,144,0,0,0,0,151
capture_2020_04_17_11_39_49_7216,325,335,160,144,224,144,0,0,0,0,151
capture_2020_04_17_11_39_49_7217,325,335,160,144,224,144,0,0,0,0,151
capture_2020_04_17_11_39_49_7218,325,335,160,144,224,144,0,0,0,0,151
capture_2020_04_17_11_39_49_7219,325,335,160,144,224,144,0,0,0,0,151
capture_2020_04_17_11_39_49_7220,329,314,160,144,224,144,0,0,0,0,151
capture_2020_04_17_11_39_49_7221,329,314,160,144,224,144,0,0,0,0,151
